symbol,shares
EDELWEISS,946531653
EDUCOMP,122467168
EFACTOR,13088098
EFCIL,147946162
EFFWA,23147167
EICHERMOT,274521706
EIDPARRY,177955692
EIEL,175530000
EIFFL,24800000
EIMCOELECO,5768385
EKC,112207682
ELECON,224399930
ELECTCAST,618184591
ELECTHERM,12742814
ELGIEQUIP,315241478
ELGIRUBCO,50050000
ELIN,49709220
ELLEN,140935600
EMAMILTD,436500000
EMAMIPAP,60499050
EMAMIREAL,52033889
EMCURE,189699247
EMKAYTOOLS,10671300
EMMBI,19240250
EMMIL,11326500
EMMVEE,692345033
EMSLIMITED,55530807
ENDURANCE,140662848
ENFUSE,8847600
ENGINERSIN,562042373
ENIL,47670415
ENRIN,356120505
ENSER,87160590
EPACK,96228477
EPACKPEB,100631006
EPIGRAL,43141338
EPL,320297659
EQUIPPP,103095225
EQUITASBNK,1143896368
ERIS,138583305
EROSMEDIA,95914119
ESABINDIA,15393020
ESAFSFB,516018126
ESCONET,12360000
ESCORTS,110027390
ESFL,24839040
ESSARSHPNG,206976072
ESSENTIA,1755283254
ESTER,104295042
ETERNAL,9205393097
ETHOSLTD,26757693
EUROPRATIK,102200000
EVERESTIND,15855754
EXCELINDUS,12570692
EXICOM,139079771
EXIDEIND,850000000
EXPLEOSOL,15519739
EXXARO,447410700
FABTECH,44450794
FACT,647071974
FAZE3Q,24549762
FCL,1164500900
FCONSUMER,1997034643
FDC,162810084
FEDERALBNK,2469603482
FEDFINA,374960731
FEL,454930401
FELDVR,39374679
FELIX,13673070
FIBERWEB,28791710
FIDEL,13750560
FIEMIND,26319660
FILATEX,444058375
FILATFASH,8334072725
FINCABLES,152939345
FINEORG,30659976
FINOPB,83218402
FINPIPE,618313905
FIRSTCRY,485359263
FISCHER,684407253
FLAIR,105395378
FLEXITUFF,32822806
FLFL,201774874
FLUOROCHEM,109850000
FMGOETZE,55632130
FMNL,66762955
FOCUS,67229575
FONEBOX,10260000
FORCEMOT,13176262
FORTIS,754958148
FOSECOIND,7537259
FRACTAL,171965112
FRETAIL,542284079
FROG,15528900
FSL,690535266
FUSION,161324249
GABRIEL,177230023
GAEL,458670660
GAIL,6575079643
GALAXYSURF,35454752
GALLANTT,241280945
GANDHAR,97879530
GANDHITUBE,12152000
GANECOS,26737394
GANESHBE,71989421
GANESHHOU,83387090
GANGAFORGE,169700269
GANGESSECU,10003687
GARFIBRES,97648345
GARUDA,93041742
GATECH,1597742236
GATECHDVR,189665894
GATEWAY,499643836
GAYAHWS,239651900
GAYAPROJ,464299000
GBGLOBAL,50033100
GEECEE,20911729
GEMAROMA,52237138
GENCON,56986219
GENESYS,61248089
GENSOL,38446368
GENUSPAPER,257125940
GENUSPOWER,276598765
GESHIP,142767161
GFLLIMITED,109850000
GGBL,24801000
GHCL,91664382
GHCLTEXTIL,95585786
GICHSGFIN,53851066
GICL,111954588
GILLETTE,32585217
GINNIFILA,85650065
GIPCL,155215944
GIRIRAJ,23920500
GKENERGY,202817266
GKWLIMITED,5966500
GLENMARK,282224672
GLFL,27125767
GLOBAL,50901500
GLOBALPET,11787408
GLOBE,450418788
GLOBECIVIL,59718999
GLOBUSSPR,31461293
GLOSTERLTD,10943260
GMDCLTD,318000000
GMMPFAUDLR,44957224
GMRAIRPORT,10558975952
GMRP&UI,781017529
GNA,42930800
GNFC,146940683
GOACARBON,9151052
GOCLCORP,49572490
GOCOLORS,52595984
GODAVARIB,51175977
GODFRYPHLP,155981760
GODIGIT,924499031
GODREJAGRO,192411390
GODREJCP,1023304953
GODREJIND,336851055
GODREJPROP,301226497
GOKEX,73277628
GOKULAGRO,295086716
GOLDENTOBC,17608802
GOLDIAM,150557125
GOLDTECH,52261836
GOODLUCK,99715527
GOYALSALT,17900250
GPECO,11710800
GPIL,650597430
GPPL,483439910
GPTHEALTH,82054823
GPTINFRA,126364600
GRADIENTE,332400000
GRANULES,247796921
GRAPHISAD,18276500
GRAPHITE,195375594
GRASIM,678196497
GRAVITA,72832753
GRCL,5738000
GREAVESCOT,232951434
GREENCHEF,23271840
GREENLAM,255147702
GREENPLY,124902045
GREENPOWER,1173031669
GRETEX,15506060
GRINDWELL,110720000
GRINFRA,96760529
GRMOVER,207210000
GRPLTD,5333332
GRSE,114552000
GSLSU,42381818
GSMFOILS,13051259
GSPL,564211376
GSTL,15939349
GTPL,112463038
GUFICBIO,100282506
GUJALKALI,73436928
GUJENERGY,938230849
GUJTHEM,108965265
GULFOILLUB,49555526
GULFPETRO,50984383
GULPOLY,62183424
GVKPIL,1579210400
GVPIL,67227471
GVPTECH,164878778
GVT&D,256046535
HAL,668775000
HALEOSLABS,3023287
HAPPSTMNDS,150261936
HAPPYFORGE,94378734
HARDWYN,683795494
HARIOMPIPE,30967289
HARSHA,91044105
HATSUN,222748268
HAVISHA,153535800
HBLENGINE,277194946
HBSL,7137665
HCC,2619468062
HCG,149302203
HCL-INSYS,329209928
HCLTECH,2705766714
HDFCAMC,428810534
HDFCBANK,15411000562
HDFCLIFE,2171935147
HDIL,474003986
HEALTHX,31810500
HECPROJECT,10838160
HEG,192977530
HEIDELBERG,226613116
HEMIPROP,285000000
HERANBA,40013467
HERCULES,32000000
HERITGFOOD,92796000
HEROMOTOCO,200141207
HEXATRADEX,55244704
HEXT,609791999
HFCL,1530263663
HGINFRA,65171111
HGS,46520285
HIGREEN,24990000
HIKAL,123300750
HILINFRA,71720632
HILTON,51466551
HIMATSEIDE,125742289
HINDALCO,2219837078
HINDCOMPOS,14769000
HINDMOTORS,208659293
HINDOILEXP,132243289
HINDPETRO,2127822517
HINDUNILVR,2349591262
HINDWAREAP,83646357
HINDZINC,4225319000
HIRECT,34372239
HITECH,202710234
HITECHCORP,17175700
HITECHGEAR,18820044
HLEGLAS,69454739
HLVLTD,659259899
HMAAGRO,500769770
HMT,1204091640
HMVL,73514821
HNDFDS,121162702
HOACFOODS,3843210
HOMEFIRST,104559461
HONASA,326024216
HONAUT,8841523
HPAL,91874735
HPL,64300486
HRHNEXT,13204438
HSCL,504574175
HTMEDIA,231320042
HUBTOWN,142100657
HUDCO,2001900000
HUHTAMAKI,75521934
HYBRIDFIN,29436275
HYUNDAI,812541100
IBLFL,24730650
IBULLSLTD,2241202216
ICDSLTD,13026700
ICEMAKE,15779735
ICICIBANK,7173276961
ICICIGI,499598582
ICIL,198054340
ICRA,9625105
IDBI,10752402175
IDEA,108343035001
IDEAFORGE,49708506
IDFCFIRSTB,8621709523
IEX,889300290
IFBAGRO,9367111
IFBIND,40518796
IFCI,2694314331
IFGLEXPOR,72078624
IGCL,63223997
IGL,1400001600
IIFL,425289575
IIFLCAPS,315178863
IKIO,77280701
IKS,167757449
IL&FSENGG,131121078
IL&FSTRANS,328960027
IMAGICAA,565873947
IMFA,53954106
IMPEXFERRO,87931604
INCREDIBLE,46763750
INDBANK,44378200
INDGN,240807964
INDHOTEL,1446605715
INDIACEM,309896036
INDIAGLYCO,67026765
INDIAMART,601426988
INDIANB,1346963981
INDIANHUME,52681770
INDIFRA,7290000
INDIGO,386666597
INDIGOPNTS,47732637
INDLMETER,8636563
INDNIPPON,22621424
INDOBORAX,32090000
INDOCO,92173705
INDOSTAR,161655404
INDOTECH,10620000
INDOTHAI,128618190
INDOWIND,161002170
INDSWFTLAB,86961558
INDUSINDBK,779140552
INDUSTOWER,2637202542
INFINIUM,15583120
INFOLLION,9696972
INFY,4050299443
INM,13990800
