symbol,t0,company,order_value_inr,mcap_prior,materiality_ratio,median_daily_value
DBL,2022-01-04,Dilip Buildcon Limited,26830200000.0,69961977442.95685,0.3834968790279816,70283725.51202393
DBL,2022-05-13,Dilip Buildcon Limited,19550000000.0,34229141009.759277,0.571150762866821,70283725.51202393
DBL,2022-08-10,Dilip Buildcon Limited,14000400000.0,39605233126.499664,0.3534987398075029,70283725.51202393
DBL,2023-09-05,Dilip Buildcon Limited,12753000000.0,51001565059.586395,0.2500511500990284,70283725.51202393
DEEPINDS,2022-03-29,Deep Industries Limited,719700000.0,6390567871.09375,0.11261909966646248,103171169.2529602
DSSL,2023-06-20,Dynacons Systems & Solutions Limited,794700000.0,6071230556.220703,0.13089603378440878,38507068.459228516
DSSL,2024-04-16,Dynacons Systems & Solutions Limited,2330000000.0,11999719368.486328,0.19417120754665712,38507068.459228516
GANESHBE,2025-04-02,Ganesh Benzoplast Limited,1692400000.0,8152801928.25,0.2075850750323912,12316654.582889557
GENUSPOWER,2021-12-15,Genus Power Infrastructures Limited,3250000000.0,19408322852.062073,0.16745393328278738,150110077.25912476
GENUSPOWER,2022-04-29,Genus Power Infrastructures Limited,8285700000.0,27517839809.66297,0.30110285027135203,150110077.25912476
GENUSPOWER,2023-01-30,Genus Power Infrastructures Limited,28559600000.0,23459034866.843605,1.2174243383032524,150110077.25912476
GENUSPOWER,2023-07-04,Genus Power Infrastructures Limited,22075300000.0,35352602387.94968,0.6244321070837096,150110077.25912476
GENUSPOWER,2023-10-10,Genus Power Infrastructures Limited,31150100000.0,71490136494.60617,0.43572584313572027,150110077.25912476
GENUSPOWER,2024-08-19,Genus Power Infrastructures Limited,29255200000.0,106577071373.67996,0.27449806626254136,150110077.25912476
GIPCL,2023-05-22,Gujarat Industries Power Company Limited,36000000000.0,14367156869.24121,2.5057149669655767,38082983.262672424
GKENERGY,2026-05-06,GK Energy Limited,3538900000.0,26128029610.623108,0.13544458012100374,75197743.25483704
GOLDIAM,2021-03-30,Goldiam International Limited,800000000.0,7171690760.594845,0.11154970657625583,182339885.88653564
GPTINFRA,2023-10-19,GPT Infraprojects Limited,7390000000.0,6525954729.994202,1.132401358231084,19681328.473033905
GPTINFRA,2024-01-18,GPT Infraprojects Limited,2670000000.0,10083804841.607666,0.2647810069650575,19681328.473033905
GPTINFRA,2024-04-24,GPT Infraprojects Limited,4870000000.0,10381606961.676025,0.4690988608967506,19681328.473033905
GULPOLY,2022-12-15,Gulshan Polyols Limited,1915890356.0,12666183535.5,0.15126027114878451,23098336.053878784
GVPIL,2022-05-02,GE Power India Limited,8634000000.0,11786648967.244446,0.7325237244270378,69202301.5378418
HCC,2021-05-14,Hindustan Construction Company Limited,11470000000.0,21872559316.947765,0.5244013667441546,550986048.3487802
HCC,2023-03-14,Hindustan Construction Company Limited,36810000000.0,37589367688.94777,0.9792662729685415,550986048.3487802
HCC,2025-03-17,Hindustan Construction Company Limited,21910000000.0,59252369760.78508,0.3697742400591827,550986048.3487802
HCC,2025-09-23,Hindustan Construction Company Limited,25660000000.0,74942982852.61642,0.3423936307747878,550986048.3487802
HCC,2026-02-13,Hindustan Construction Company Limited,5770000000.0,52651309045.44777,0.10958891819801532,550986048.3487802
HFCL,2025-01-17,HFCL Limited,25013000000.0,156382947901.25598,0.15994710635454845,1854382956.9708214
HFCL,2026-03-13,HFCL Limited,101590000000.0,113958736851.60764,0.8914630225525078,1854382956.9708214
INDIANHUME,2022-06-20,Indian Hume Pipe Company Limited,1100000000.0,7090820261.021118,0.15513014848885676,11998754.533111572
INDIANHUME,2023-08-18,Indian Hume Pipe Company Limited,6391600000.0,13906305604.846802,0.45961883634804623,11998754.533111572
INDIANHUME,2024-09-02,Indian Hume Pipe Company Limited,8588800000.0,27593228165.042725,0.31126477658315344,11998754.533111572
IRCON,2022-02-28,Ircon International Limited,17800000000.0,34319080091.856384,0.5186619207845196,434721430.4107132
ITI,2023-05-23,ITI Limited,38890000000.0,102110454038.74101,0.38086208083302636,144253458.71346283
JKIL,2022-10-03,J.Kumar Infraprojects Limited,3523049980.0,22322384159.74774,0.15782588252167293,50382513.50543213
JKIL,2023-03-21,J.Kumar Infraprojects Limited,1823399706.0,17747426637.25647,0.10274163929615628,50382513.50543213
JKIL,2024-03-05,J.Kumar Infraprojects Limited,4929904656.0,48295947643.6582,0.1020769836089416,50382513.50543213
JKIL,2025-03-24,J.Kumar Infraprojects Limited,10207021000.0,50958145922.418335,0.20030204818557892,50382513.50543213
JKIL,2026-02-13,J.Kumar Infraprojects Limited,6155325203.0,42436997192.79761,0.14504620048952663,50382513.50543213
JWL,2023-12-15,Jupiter Wagons Limited,16170000000.0,139587936087.6675,0.11584095626891791,552569712.251976
JYOTISTRUC,2022-09-27,Jyoti Structures Limited,2370000000.0,19993803944.75,0.11853672300424441,115283066.36711168
JYOTISTRUC,2025-08-11,Jyoti Structures Limited,6390000000.0,19969930199.595844,0.3199810883730241,115283066.36711168
KEC,2021-01-11,KEC International Limited,10240000000.0,91956786676.02539,0.1113566531644557,376288937.3097229
